in:Iteration,out:Sunshine_hrs,out:SVF,out:Horizontal_Solar,out:Roof_Solar,out:A/V_ratio,out:Isovist_GP,out:%Surface_View,out:FSR,out:Site_Cvr%,out:Max_H,img,threeD
64,1456.363304,0.454556,1768.482747,1084.9154,0.168889,454.883844,38.899973,2.781701,36.375797,16,FragmentB64_Aerial Iso 2.png,FragmentB64.json
65,1421.857834,0.47882,3869.802436,1181.63114,0.175674,400.58828,35.358234,2.13318,34.527926,16,FragmentB65_Aerial Iso 2.png,FragmentB65.json
66,1404.095274,0.48739,2501.104736,1129.547483,0.178433,400.901546,41.435406,2.628199,34.8038,16,FragmentB66_Aerial Iso 2.png,FragmentB66.json
67,1384.974948,0.440189,2446.090403,1145.666313,0.178098,437.321638,37.293278,2.624973,33.27021,16,FragmentB67_Aerial Iso 2.png,FragmentB67.json
68,1611.364609,0.542855,2726.891411,1157.79307,0.158961,450.596929,47.172029,2.300636,31.732755,16,FragmentB68_Aerial Iso 2.png,FragmentB68.json
69,1357.116151,0.47295,2660.945936,1160.929678,0.163749,406.835052,42.823494,2.529448,35.970006,16,FragmentB69_Aerial Iso 2.png,FragmentB69.json
70,1250.629014,0.442851,1741.001656,1103.142414,0.164575,358.788152,38.36076,3.003866,38.39229,16,FragmentB70_Aerial Iso 2.png,FragmentB70.json
71,1397.582729,0.489375,2564.915553,1134.317242,0.17536,422.767209,44.632071,2.58919,34.349715,16,FragmentB71_Aerial Iso 2.png,FragmentB71.json
72,1098.818844,0.384706,2596.750204,1151.480614,0.163002,372.53986,36.089606,3.17609,47.944863,16,FragmentB72_Aerial Iso 2.png,FragmentB72.json
73,1034.216106,0.380978,2462.139898,1166.494622,0.171771,328.762436,27.826918,2.721456,42.419566,10,FragmentB73_Aerial Iso 2.png,FragmentB73.json
74,1593.530981,0.521101,2530.716374,1097.010408,0.175327,464.827496,42.657041,2.491124,32.000703,16,FragmentB74_Aerial Iso 2.png,FragmentB74.json
75,1280.733817,0.425244,2410.308921,1141.706494,0.176121,392.460423,36.401306,2.754239,35.039252,16,FragmentB75_Aerial Iso 2.png,FragmentB75.json
76,1509.545987,0.497834,2549.467558,1134.450328,0.159872,466.888718,43.213653,2.574382,32.333356,16,FragmentB76_Aerial Iso 2.png,FragmentB76.json
77,1245.222322,0.451217,2496.747985,1113.493616,0.171321,372.897038,38.278711,2.886403,38.667265,16,FragmentB77_Aerial Iso 2.png,FragmentB77.json
78,1670.36872,0.532304,3902.178457,1156.017861,0.175204,491.272393,42.105688,2.151135,29.799312,16,FragmentB78_Aerial Iso 2.png,FragmentB78.json
79,1116.801154,0.381174,2496.23985,1152.569883,0.16768,372.396643,34.566751,3.023509,40.650523,16,FragmentB79_Aerial Iso 2.png,FragmentB79.json
80,1460.036611,0.498438,2775.321272,1176.205242,0.164345,400.656507,44.166826,2.392777,33.43906,16,FragmentB80_Aerial Iso 2.png,FragmentB80.json
81,1615.286094,0.538579,3877.82297,1199.849961,0.180556,449.350798,38.956373,1.927907,29.736639,16,FragmentB81_Aerial Iso 2.png,FragmentB81.json
