in:Layer ,out:Sunshine rs,out:SVF,out:North_Solar,out:East_Solar,out:NE_Solar,out:SE_Solar,out:South_Solar,out:SW_Solar,out:West_Solar,out:NW_Solar,out:Roof_Solar,out:A/V ratio,img,threeD
70,1824.048651,0.404047,198.601145,229.683877,-999,-999,819.862138,-999,191.993362,-999,526.871177,0.344979,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer70_Top2_.png,Layer70.json
71,1742.951312,0.388344,-999,-999,108.491259,702.885542,-999,305.09768,-999,324.290296,427.246625,0.368666,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer71_Top2_.png,Layer71.json
72,1793.41898,0.397973,187.64215,229.853855,-999,-999,799.285694,-999,172.965126,-999,310.648812,0.381126,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer72_Top2_.png,Layer72.json
73,1920.567352,0.397533,-999,-999,117.625643,707.834205,-999,307.751164,-999,303.889343,514.608966,0.335792,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer73_Top2_.png,Layer73.json
74,1921.197669,0.396685,-999,-999,109.895191,698.629128,-999,284.545013,-999,311.597287,356.209994,0.380524,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer74_Top2_.png,Layer74.json
75,1756.652199,0.397136,-999,-999,171.01007,786.694036,-999,268.656393,-999,219.974522,533.694589,0.343503,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer75_Top2_.png,Layer75.json
76,1763.50884,0.397409,-999,-999,169.836135,788.538298,-999,270.37305,-999,226.413698,538.421845,0.344979,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer76_Top2_.png,Layer76.json
77,1818.238378,0.402721,196.074217,231.227841,-999,-999,817.333234,-999,187.563908,-999,524.098278,0.343503,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer77_Top2_.png,Layer77.json
78,1933.332706,0.399406,-999,-999,114.525533,710.568078,-999,301.913883,-999,319.688577,534.347391,0.343503,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer78_Top2_.png,Layer78.json
79,1913.476154,0.397577,-999,-999,117.024777,705.632275,-999,303.554686,-999,286.835624,368.177473,0.357023,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer79_Top2_.png,Layer79.json
80,1726.847156,0.393848,-999,-999,175.466462,778.144138,-999,266.554215,-999,201.764959,373.756045,0.357023,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer80_Top2_.png,Layer80.json
81,1972.148268,0.405267,184.143388,231.22786,-999,-999,797.222889,-999,190.799661,-999,522.899429,0.343503,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer81_Top2_.png,Layer81.json
82,1957.073363,0.401528,173.903649,229.853873,-999,-999,776.535631,-999,174.569385,-999,308.481112,0.381126,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer82_Top2_.png,Layer82.json
83,1732.91898,0.385725,-999,-999,108.235198,698.629129,-999,303.089744,-999,325.731102,360.466177,0.380524,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer83_Top2_.png,Layer83.json
84,1732.265532,0.386968,-999,-999,115.814141,709.279001,-999,329.354241,-999,320.72001,517.696645,0.335792,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer84_Top2_.png,Layer84.json
85,1802.742885,0.399686,192.464061,237.645966,-999,-999,812.983337,-999,185.288664,-999,511.11796,0.335792,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer85_Top2_.png,Layer85.json
86,1738.526103,0.394648,-999,-999,176.042811,784.087955,-999,272.243814,-999,211.384111,517.648454,0.335792,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer86_Top2_.png,Layer86.json
87,1739.157193,0.394027,-999,-999,169.60454,776.393081,-999,263.143061,-999,213.06912,412.735741,0.358361,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer87_Top2_.png,Layer87.json
88,1812.910036,0.401302,192.823915,221.995525,-999,-999,806.778202,-999,176.007285,-999,413.858767,0.368666,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer88_Top2_.png,Layer88.json
89,1933.332706,0.399406,-999,-999,114.525533,710.568078,-999,301.913883,-999,319.688577,534.347391,0.343503,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer89_Top2_.png,Layer89.json
90,1963.377309,0.402931,179.994784,237.645985,-999,-999,792.786451,-999,188.562568,-999,509.409934,0.335792,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer90_Top2_.png,Layer90.json
91,1963.958812,0.40209,179.882577,220.86193,-999,-999,780.321246,-999,179.329564,-999,347.480072,0.380524,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer91_Top2_.png,Layer91.json
92,1740.125472,0.393842,-999,-999,163.512668,770.746905,-999,253.621198,-999,214.760138,359.758421,0.380524,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer92_Top2_.png,Layer92.json
93,1933.332706,0.399406,-999,-999,114.525533,710.568078,-999,301.913883,-999,319.688577,534.347391,0.343503,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer93_Top2_.png,Layer93.json
94,1738.526103,0.394648,-999,-999,176.042811,784.087955,-999,272.243814,-999,211.384111,517.648454,0.335792,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer94_Top2_.png,Layer94.json
95,1968.988813,0.404209,180.355217,221.995543,-999,-999,786.010996,-999,178.970286,-999,411.711701,0.368666,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer95_Top2_.png,Layer95.json
96,1927.991653,0.398798,-999,-999,110.313923,702.885539,-999,285.759096,-999,309.370679,423.7478,0.368666,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer96_Top2_.png,Layer96.json
97,1920.567352,0.397533,-999,-999,117.625643,707.834205,-999,307.751164,-999,303.889343,514.608966,0.335792,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer97_Top2_.png,Layer97.json
98,1732.91898,0.385725,-999,-999,108.235198,698.629129,-999,303.089744,-999,325.731102,360.466177,0.380524,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer98_Top2_.png,Layer98.json
99,1793.238311,0.398051,189.035927,236.573582,-999,-999,806.534369,-999,178.890755,-999,369.169605,0.357023,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer99_Top2_.png,Layer99.json
100,1740.125472,0.393842,-999,-999,163.512668,770.746905,-999,253.621198,-999,214.760138,359.758421,0.380524,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer100_Top2_.png,Layer100.json
