in:Fillet,in:Width,in:form variable,in:Fillet Base,out:Floor Area Small,out:Floor Area Large,out:Floor Area Deviation,out:Floor Area,out: FAR,out:Facade Area,out:Num Panels,out:Percent Planar,out:Facade Cost,out:Avg Solar Rad. (kWh/m2),img
21,42,6,8,1549.615169,1870.04014,320.424972,70751.99855,7.222134175,24841.09362,2068,0.381528,27493231.12,90.342815,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width42_formvariable6_FilletBase8_Perspective.png
7,48,6,8,1848.40429,1879.93988,31.53559,76676.78367,7.826916993,26742.6909,2231,0.677723,25762478.37,83.858714,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width48_formvariable6_FilletBase8_Perspective.png
14,48,6,8,1723.478621,1870.04014,146.561519,74260.96832,7.58031841,25770.51112,2146,0.520969,26781918.43,87.409527,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width48_formvariable6_FilletBase8_Perspective.png
21,48,6,8,1549.615169,1870.04014,320.424972,70751.99855,7.222134175,24841.10276,2068,0.378143,27533955.18,90.736539,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width48_formvariable6_FilletBase8_Perspective.png
7,54,6,8,1573.81984,1878.968707,305.148867,74577.30813,7.61260935,27123.29793,2231,0.645899,26547086.49,81.560154,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width54_formvariable6_FilletBase8_Perspective.png
14,54,6,8,1454.692881,1869.865834,415.172953,72170.95289,7.366976424,26071.72118,2146,0.505126,27294956.28,85.687633,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width54_formvariable6_FilletBase8_Perspective.png
21,54,6,8,1454.692881,1869.865834,415.172953,69976.81811,7.143006274,25395.76021,2091,0.406982,27794114.67,89.033975,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width54_formvariable6_FilletBase8_Perspective.png
7,60,6,8,1024.650941,1878.338615,853.687675,70378.35707,7.183994066,27839.68181,2231,0.633348,27417430.85,77.879143,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width60_formvariable6_FilletBase8_Perspective.png
14,60,6,8,1013.97881,1869.517221,855.538411,68612.68016,7.003759503,26905.64857,2165,0.532102,27816576.89,80.884841,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width60_formvariable6_FilletBase8_Perspective.png
21,60,6,8,1013.97881,1869.517221,855.538411,66926.44809,6.831634411,26316.28266,2120,0.453774,28205339.9,82.447543,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width60_formvariable6_FilletBase8_Perspective.png
7,30,0,16,1506.858346,1882.484954,375.626608,69304.81321,7.074410196,25774.42662,2140,0.520561,26791085.63,71.8935,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width30_formvariable0_FilletBase16_Perspective.png
14,30,0,16,1506.858346,1756.551267,249.692921,66467.16903,6.784752697,24791.23736,2058,0.363946,27649110.49,74.334217,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width30_formvariable0_FilletBase16_Perspective.png
21,30,0,16,1506.858346,1567.197419,60.339073,63196.91555,6.450935845,24006.73692,1993,0.250376,28094310.88,76.776121,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width30_formvariable0_FilletBase16_Perspective.png
7,36,0,16,1624.247718,1882.484954,258.237236,72190.78575,7.369000898,25676.27216,2140,0.514486,26764583.76,77.57503,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width36_formvariable0_FilletBase16_Perspective.png
14,36,0,16,1624.247718,1756.551267,132.303549,69280.87256,7.071966413,24690.74074,2058,0.375607,27397608.97,80.074648,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width36_formvariable0_FilletBase16_Perspective.png
21,36,0,16,1546.841938,1624.247718,77.40578,65089.815,6.644156872,23710.1639,1974,0.220871,28085971.93,83.502684,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width36_formvariable0_FilletBase16_Perspective.png
7,42,0,16,1696.247718,1882.484954,186.237236,73702.78575,7.523340947,25641.05674,2140,0.515888,26710470.93,80.636083,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width42_formvariable0_FilletBase16_Perspective.png
